id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ.,TesYPobZ
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ.,Lndf6yNx
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА.,5DirXVF4
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ.,uumwI9Y0
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ.,PA5VDPf5
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ.,UoCL5i2S
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ.,0g3sAAT4
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ.,DgoDTy5B
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР.,rTCZhcGx
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ.,nGTSr46H
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД.,rGcw75zd
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ.,lsqAMgFc
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП.,bDXGlOuu
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ.,zpXWnBpV
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН.,a4G9l8uy
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ.,iUBeUyuL
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН.,dwmoYtrs
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ.,B1C696ua
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ.,aivze1mu
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ.,EPiIo5Lr
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ.,G5mWetOE
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ.,RMCEd2gv
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ.,SV9yCMz0
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД.,KA3MaXFa
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ.,e4jMyeNr
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ.,JKk4Qqap
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА.,wiSmhu0v
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ.,J6J7oERm
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА.,WwyxW2aQ
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА.,mTfOef7z
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ.,aL9sagZt
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ.,vhvhWSXM
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП.,v0wqBU1t
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ.,9Ygox2Xk
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ.,XC9hwmmj
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП.,6gOwg3Tj
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ.,khaZdSjt
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ.,gd1D3ijB
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО.,Vwtc79xt
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА.,N2Hdb7KT
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ.,0jd2MaK9
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП.,NBcS2KJu
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА.,ZEfS1coB
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС.,ScegvWX2
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ.,jro43zgJ
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО.,alL9FVGY
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА.,IJpdXKub
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО.,e6s59XFR
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП.,monRKYTL
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ.,eNShW49F
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ.,ADwFLVjY
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ.,rtDLw3f2
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД.,pFCLXVj9
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ.,dbvLgOJq
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК.,BZdym7cY
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА.,lR6Mq2Py
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА.,bZ9O7jro
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА.,BCHYjNCY
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ.,ZQomShAd
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО.,xcrt12ws
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА.,jOZEW7yp
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ.,2wtWA0Xv
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ.,M33Iguvz
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ.,NvOJJ8UG
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА.,Uvgls3JI
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ.,km1IMFQ6
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК.,zT4qVKvr
67,Остюков Артур Романович,329,11и,3,Остюков_АР.,UausGnca
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ.,RQi6JeBp
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ.,wp8INYeK
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ.,dFN28IcH
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ.,2jd9Dr47
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ.,n2LazHQ2
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ.,2OXu2hHU
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК.,gw1sap01
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ.,2sEYpMQM
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ.,X9uFSX2Y
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА.,M9aE5rIB
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД.,w21ZBEMT
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ.,prtFbUr0
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА.,qlZS7k9M
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ.,h8jhoY9r
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП.,wNifSvsJ
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ.,Uc1DBiUs
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ.,8xmaeQqc
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА.,P8ojxeTr
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ.,2FzgxgNX
